director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Christopher Cain,Jon Gries,Taylor Handley,Trent Ford,Drama History Romance Western,september dawn,Jon GriesTaylor HandleyTrent FordChristopher CainDrama History Romance Western
Dean Wright,Santiago Cabrera,Eduardo Verástegui,Catalina Sandino Moreno,Drama History War,for greater glory: the true story of cristiada,Santiago CabreraEduardo VerásteguiCatalina Sandino MorenoDean WrightDrama History War
Eric Lartigau,Karin Viard,Eric Elmosnino,François Damiens,Comedy Drama Music,la famille bélier,Karin ViardEric ElmosninoFrançois DamiensEric LartigauComedy Drama Music
Gus Van Sant,Robin Williams,Matt Damon,Minnie Driver,Drama,good will hunting,Robin WilliamsMatt DamonMinnie DriverGus Van SantDrama
Shintaro Shimosawa,Al Pacino,Anthony Hopkins,Glen Powell,Drama Thriller,misconduct,Al PacinoAnthony HopkinsGlen PowellShintaro ShimosawaDrama Thriller
Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Leigh Whannell,Horror Mystery,saw iii,Costas MandylorShawnee SmithLeigh WhannellDarren Lynn BousmanHorror Mystery
Ivan Reitman,Bill Murray,Harold Ramis,Judge Reinhold,Action Comedy War,stripes,Bill MurrayHarold RamisJudge ReinholdIvan ReitmanAction Comedy War
Peyton Reed,Kirsten Dunst,Lindsay Sloane,Clare Kramer,Comedy Sport,bring it on,Kirsten DunstLindsay SloaneClare KramerPeyton ReedComedy Sport
James DeMonaco,Frank Grillo,Joseph Julian Soria,Mykelti Williamson,Action Horror Sci-Fi Thriller,the purge: election year,Frank GrilloJoseph Julian SoriaMykelti WilliamsonJames DeMonacoAction Horror Sci-Fi Thriller
Robert Iscove,Paul Walker,Clea DuVall,Kieran Culkin,Comedy Romance,she's all that,Paul WalkerClea DuVallKieran CulkinRobert IscoveComedy Romance
Lee Daniels,Mo'Nique,Gabourey Sidibe,Mariah Carey,Drama,precious,Mo'NiqueGabourey SidibeMariah CareyLee DanielsDrama
Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Angus Macfadyen,Horror Mystery,saw iv,Costas MandylorShawnee SmithAngus MacfadyenDarren Lynn BousmanHorror Mystery
Geoffrey Sax,Deborah Kara Unger,Keegan Connor Tracy,Mike Dopud,Drama Horror Mystery Thriller,white noise,Deborah Kara UngerKeegan Connor TracyMike DopudGeoffrey SaxDrama Horror Mystery Thriller
Tyler Perry,Boris Kodjoe,Cicely Tyson,Blair Underwood,Comedy Drama Romance,madea's family reunion,Boris KodjoeCicely TysonBlair UnderwoodTyler PerryComedy Drama Romance
Martin Scorsese,Tom Cruise,Bill Cobbs,Mary Elizabeth Mastrantonio,Drama Sport,the color of money,Tom CruiseBill CobbsMary Elizabeth MastrantonioMartin ScorseseDrama Sport
Ken Annakin,Richard Burton,Richard Beymer,Eddie Albert,Action Drama History War,the longest day,Richard BurtonRichard BeymerEddie AlbertKen AnnakinAction Drama History War
Stephen Herek,Lane Smith,Shaun Weiss,Elden Henson,Comedy Drama Family Sport,the mighty ducks,Lane SmithShaun WeissElden HensonStephen HerekComedy Drama Family Sport
Takashi Shimizu,Sarah Michelle Gellar,Clea DuVall,Ted Raimi,Horror Mystery Thriller,the grudge,Sarah Michelle GellarClea DuVallTed RaimiTakashi ShimizuHorror Mystery Thriller
Dennis Dugan,Adam Sandler,Kevin Nealon,Frances Bay,Comedy Sport,happy gilmore,Adam SandlerKevin NealonFrances BayDennis DuganComedy Sport
Victor Salva,Eileen Brennan,Patricia Belcher,Jonathan Breck,Horror Mystery,jeepers creepers,Eileen BrennanPatricia BelcherJonathan BreckVictor SalvaHorror Mystery
Stephen Herek,Keanu Reeves,George Carlin,Al Leong,Adventure Comedy Music Sci-Fi,bill & ted's excellent adventure,Keanu ReevesGeorge CarlinAl LeongStephen HerekAdventure Comedy Music Sci-Fi
Carol Reed,Oliver Reed,Ron Moody,Jack Wild,Drama Family Musical,oliver!,Oliver ReedRon MoodyJack WildCarol ReedDrama Family Musical
John Madden,Tom Wilkinson,Penelope Wilton,Celia Imrie,Comedy Drama,the best exotic marigold hotel,Tom WilkinsonPenelope WiltonCelia ImrieJohn MaddenComedy Drama
Chuck Sheetz,Diedrich Bader,Andrew Lawrence,Dabney Coleman,Animation Comedy Family Mystery Sci-Fi,recess: school's out,Diedrich BaderAndrew LawrenceDabney ColemanChuck SheetzAnimation Comedy Family Mystery Sci-Fi
George Miller,Tina Turner,Bruce Spence,Angelo Rossitto,Action Adventure Sci-Fi Thriller,mad max beyond thunderdome,Tina TurnerBruce SpenceAngelo RossittoGeorge MillerAction Adventure Sci-Fi Thriller
Mark L. Lester,Bill Duke,Vernon Wells,Rae Dawn Chong,Action Adventure Thriller,commando,Bill DukeVernon WellsRae Dawn ChongMark L. LesterAction Adventure Thriller
William Brent Bell,Lauren Cohan,Rupert Evans,Stephanie Lemelin,Horror Mystery Thriller,the boy,Lauren CohanRupert EvansStephanie LemelinWilliam Brent BellHorror Mystery Thriller
John Erick Dowdle,Bojana Novakovic,Bokeem Woodbine,Geoffrey Arend,Horror Mystery Thriller,devil,Bojana NovakovicBokeem WoodbineGeoffrey ArendJohn Erick DowdleHorror Mystery Thriller
Marcus Raboy,John Witherspoon,Mike Epps,Katt Williams,Comedy Drama,friday after next,John WitherspoonMike EppsKatt WilliamsMarcus RaboyComedy Drama
Leigh Whannell,Lin Shaye,Hayley Kiyoko,Leigh Whannell,Fantasy Horror Thriller,insidious: chapter 3,Lin ShayeHayley KiyokoLeigh WhannellLeigh WhannellFantasy Horror Thriller
Michael Schultz,Mike Starr,Vanity,Keshia Knight Pulliam,Action Comedy Drama Music,the last dragon,Mike StarrVanityKeshia Knight PulliamMichael SchultzAction Comedy Drama Music
Guy Ritchie,Jason Statham,Brad Pitt,Jason Flemyng,Comedy Crime,snatch,Jason StathamBrad PittJason FlemyngGuy RitchieComedy Crime
Brett Leonard,Jeff Fahey,Austin O'Brien,Troy Evans,Horror Sci-Fi,the lawnmower man,Jeff FaheyAustin O'BrienTroy EvansBrett LeonardHorror Sci-Fi
Peter Sollett,Ari Graynor,Alexis Dziena,Aaron Yoo,Comedy Drama Music Romance,nick and norah's infinite playlist,Ari GraynorAlexis DzienaAaron YooPeter SollettComedy Drama Music Romance
Kevin Smith,Matt Damon,Janeane Garofalo,George Carlin,Adventure Comedy Drama Fantasy,dogma,Matt DamonJaneane GarofaloGeorge CarlinKevin SmithAdventure Comedy Drama Fantasy
Bob Dolman,Erika Christensen,Eva Amurri Martino,Sal Lopez,Comedy Drama,the banger sisters,Erika ChristensenEva Amurri MartinoSal LopezBob DolmanComedy Drama
Joe Dante,Albert Brooks,Al Leong,Vic Morrow,Fantasy Horror Sci-Fi,twilight zone: the movie,Albert BrooksAl LeongVic MorrowJoe DanteFantasy Horror Sci-Fi
Rowdy Herrington,Ben Gazzara,Kevin Tighe,Kelly Lynch,Action Thriller,road house,Ben GazzaraKevin TigheKelly LynchRowdy HerringtonAction Thriller
Keenen Ivory Wayans,Jada Pinkett Smith,Salli Richardson-Whitfield,Charles S. Dutton,Action Comedy Crime,a low down dirty shame,Jada Pinkett SmithSalli Richardson-WhitfieldCharles S. DuttonKeenen Ivory WayansAction Comedy Crime
John Polson,Erika Christensen,Shiri Appleby,Jason Ritter,Drama Thriller,swimfan,Erika ChristensenShiri ApplebyJason RitterJohn PolsonDrama Thriller
Greg Coolidge,Dane Cook,Danny Woodburn,Jessica Simpson,Comedy Romance,employee of the month,Dane CookDanny WoodburnJessica SimpsonGreg CoolidgeComedy Romance
Harry Elfont,Ethan Embry,Lauren Ambrose,Charlie Korsmo,Comedy Romance,can't hardly wait,Ethan EmbryLauren AmbroseCharlie KorsmoHarry ElfontComedy Romance
Francis Ford Coppola,Tom Cruise,William Smith,Tom Waits,Crime Drama,the outsiders,Tom CruiseWilliam SmithTom WaitsFrancis Ford CoppolaCrime Drama
David Lowery,Bryce Dallas Howard,Oona Laurence,Isiah Whitlock Jr.,Adventure Family Fantasy,pete's dragon,Bryce Dallas HowardOona LaurenceIsiah Whitlock Jr.David LoweryAdventure Family Fantasy
David Cronenberg,Tom Skerritt,Herbert Lom,Anthony Zerbe,Horror Sci-Fi Thriller,the dead zone,Tom SkerrittHerbert LomAnthony ZerbeDavid CronenbergHorror Sci-Fi Thriller
Ciarán Foy,Laila Haley,James Ransone,Jaden Klein,Horror Mystery Thriller,sinister 2,Laila HaleyJames RansoneJaden KleinCiarán FoyHorror Mystery Thriller
Salim Akil,Omari Hardwick,Curtis Armstrong,Mike Epps,Drama Music,sparkle,Omari HardwickCurtis ArmstrongMike EppsSalim AkilDrama Music
Jamie Blanks,Marley Shelton,Jessica Capshaw,Johnny Whitworth,Horror Mystery Thriller,valentine,Marley SheltonJessica CapshawJohnny WhitworthJamie BlanksHorror Mystery Thriller
Olatunde Osunsanmi,Milla Jovovich,Will Patton,Hakeem Kae-Kazim,Mystery Sci-Fi Thriller,the fourth kind,Milla JovovichWill PattonHakeem Kae-KazimOlatunde OsunsanmiMystery Sci-Fi Thriller
Robert Altman,Meryl Streep,Virginia Madsen,Lily Tomlin,Comedy Drama Music,a prairie home companion,Meryl StreepVirginia MadsenLily TomlinRobert AltmanComedy Drama Music
Leon Ichaso,Khandi Alexander,Clarence Williams III,Steve Harris,Drama Thriller,sugar hill,Khandi AlexanderClarence Williams IIISteve HarrisLeon IchasoDrama Thriller
Joseph Zito,Billy Drago,Richard Lynch,Eddie Jones,Action Thriller,invasion u.s.a.,Billy DragoRichard LynchEddie JonesJoseph ZitoAction Thriller
Malcolm D. Lee,Jurnee Smollett-Bell,Brandon T. Jackson,Shad Moss,Comedy Drama Music Romance,roll bounce,Jurnee Smollett-BellBrandon T. JacksonShad MossMalcolm D. LeeComedy Drama Music Romance
Wes Anderson,Bill Murray,Connie Nielsen,Olivia Williams,Comedy Drama,rushmore,Bill MurrayConnie NielsenOlivia WilliamsWes AndersonComedy Drama
Colin Strause,David Zayas,Donald Faison,Brittany Daniel,Action Sci-Fi Thriller,skyline,David ZayasDonald FaisonBrittany DanielColin StrauseAction Sci-Fi Thriller
John Madden,Tina Desai,Celia Imrie,Ronald Pickup,Comedy Drama,the second best exotic marigold hotel,Tina DesaiCelia ImrieRonald PickupJohn MaddenComedy Drama
Patricia Rozema,Julia Ormond,Jane Krakowski,Willow Smith,Drama Family,kit kittredge: an american girl,Julia OrmondJane KrakowskiWillow SmithPatricia RozemaDrama Family
Mark Rosman,Ben Feldman,Chris Noth,Vanessa Lengies,Comedy Family Romance,the perfect man,Ben FeldmanChris NothVanessa LengiesMark RosmanComedy Family Romance
Spike Lee,Denzel Washington,Nicholas Turturro,Charlie Murphy,Drama Music Romance,mo' better blues,Denzel WashingtonNicholas TurturroCharlie MurphySpike LeeDrama Music Romance
Steve Oedekerk,Steve Oedekerk,Simon Rhee,Jennifer Tung,Action Comedy,kung pow: enter the fist,Steve OedekerkSimon RheeJennifer TungSteve OedekerkAction Comedy
Ron Underwood,Reba McEntire,Ariana Richards,Michael Gross,Comedy Horror Sci-Fi,tremors,Reba McEntireAriana RichardsMichael GrossRon UnderwoodComedy Horror Sci-Fi
Rob Schmidt,Kevin Zegers,Lindy Booth,Julian Richings,Horror Thriller,wrong turn,Kevin ZegersLindy BoothJulian RichingsRob SchmidtHorror Thriller
Walter Hill,Dennis Quaid,David Carradine,Randy Quaid,Western,the long riders,Dennis QuaidDavid CarradineRandy QuaidWalter HillWestern
James Foley,Byron Mann,Paul Ben-Victor,Kim Chan,Action Crime Drama Mystery Thriller,the corruptor,Byron MannPaul Ben-VictorKim ChanJames FoleyAction Crime Drama Mystery Thriller
Jeff Nichols,Matthew McConaughey,Tye Sheridan,Sam Shepard,Drama,mud,Matthew McConaugheyTye SheridanSam ShepardJeff NicholsDrama
Robert Ben Garant,Wendi McLendon-Covey,Thomas Lennon,Carlos Alazraqui,Comedy Crime,reno 911!: miami,Wendi McLendon-CoveyThomas LennonCarlos AlazraquiRobert Ben GarantComedy Crime
Morgan Spurlock,Harry Styles,Zayn Malik,Niall Horan,Documentary Music,one direction: this is us,Harry StylesZayn MalikNiall HoranMorgan SpurlockDocumentary Music
Neal Brennan,Rob Riggle,Noureen DeWulf,Charles Napier,Comedy,"the goods: live hard, sell hard",Rob RiggleNoureen DeWulfCharles NapierNeal BrennanComedy
Tuck Tucker,Jennifer Jason Leigh,Vincent Schiavelli,Paul Sorvino,Adventure Animation Comedy Family,hey arnold! the movie,Jennifer Jason LeighVincent SchiavelliPaul SorvinoTuck TuckerAdventure Animation Comedy Family
Simon Curtis,Eddie Redmayne,Toby Jones,Julia Ormond,Biography Drama,my week with marilyn,Eddie RedmayneToby JonesJulia OrmondSimon CurtisBiography Drama
Richard Shepard,Adam Scott,Philip Baker Hall,Hope Davis,Comedy Crime Drama Thriller,the matador,Adam ScottPhilip Baker HallHope DavisRichard ShepardComedy Crime Drama Thriller
Theodore Witcher,Leonard Roberts,Nia Long,Larenz Tate,Drama Romance,love jones,Leonard RobertsNia LongLarenz TateTheodore WitcherDrama Romance
Jim Hanon,Chase Ellison,Chad Allen,Jack Guzman,Adventure Drama,end of the spear,Chase EllisonChad AllenJack GuzmanJim HanonAdventure Drama
Tommy O'Haver,Mila Kunis,Kirsten Dunst,Carmen Electra,Comedy Romance,get over it,Mila KunisKirsten DunstCarmen ElectraTommy O'HaverComedy Romance
Mike Judge,Gary Cole,Stephen Root,Diedrich Bader,Comedy,office space,Gary ColeStephen RootDiedrich BaderMike JudgeComedy
Michael Patrick Jann,Kirsten Dunst,Kirstie Alley,Ellen Barkin,Comedy Romance Thriller,drop dead gorgeous,Kirsten DunstKirstie AlleyEllen BarkinMichael Patrick JannComedy Romance Thriller
Tim Burton,Christoph Waltz,Danny Huston,Jon Polito,Biography Crime Drama Romance,big eyes,Christoph WaltzDanny HustonJon PolitoTim BurtonBiography Crime Drama Romance
Peter Berg,Jon Favreau,Daniel Stern,Jeanne Tripplehorn,Comedy Crime Thriller,very bad things,Jon FavreauDaniel SternJeanne TripplehornPeter BergComedy Crime Thriller
Joe Nussbaum,Steve Carell,Alexa PenaVega,Hunter Parrish,Comedy Romance,sleepover,Steve CarellAlexa PenaVegaHunter ParrishJoe NussbaumComedy Romance
Brian De Palma,Melanie Griffith,Dennis Franz,Gregg Henry,Mystery Thriller,body double,Melanie GriffithDennis FranzGregg HenryBrian De PalmaMystery Thriller
Jorma Taccone,Jasper Cole,Will Forte,Powers Boothe,Action Comedy Romance,macgruber,Jasper ColeWill FortePowers BootheJorma TacconeAction Comedy Romance
Stephen Frears,Sophie Okonedo,Benedict Wong,Sergi López,Crime Drama Thriller,dirty pretty things,Sophie OkonedoBenedict WongSergi LópezStephen FrearsCrime Drama Thriller
Elizabeth Banks,Hugh Jackman,Kate Winslet,Seth MacFarlane,Comedy,movie 43,Hugh JackmanKate WinsletSeth MacFarlaneElizabeth BanksComedy
Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,Action Romance Thriller,the tourist,Johnny DeppAngelina Jolie PittRufus SewellFlorian Henckel von DonnersmarckAction Romance Thriller
Jeff Lowell,Stephen Root,William Morgan Sheppard,Wendi McLendon-Covey,Comedy Fantasy Romance,over her dead body,Stephen RootWilliam Morgan SheppardWendi McLendon-CoveyJeff LowellComedy Fantasy Romance
Lorene Scafaria,Steve Carell,Mark Moses,Rob Huebel,Adventure Comedy Drama Romance Sci-Fi,seeking a friend for the end of the world,Steve CarellMark MosesRob HuebelLorene ScafariaAdventure Comedy Drama Romance Sci-Fi
Miguel Arteta,Kurtwood Smith,Stephen Root,Alia Shawkat,Comedy,cedar rapids,Kurtwood SmithStephen RootAlia ShawkatMiguel ArtetaComedy
unknown,Michaela Conlin,T.J. Thyne,Tamara Taylor,Comedy Crime Drama Mystery Romance,bones            ,Michaela ConlinT.J. ThyneTamara TaylorunknownComedy Crime Drama Mystery Romance
Tony Kaye,Ethan Suplee,Beverly D'Angelo,Stacy Keach,Crime Drama,american history x,Ethan SupleeBeverly D'AngeloStacy KeachTony KayeCrime Drama
Marcus Dunstan,Daniel Sharman,Johanna Braddy,Lee Tergesen,Action Horror Thriller,the collection,Daniel SharmanJohanna BraddyLee TergesenMarcus DunstanAction Horror Thriller
Timothy Björklund,Nathan Lane,Kelsey Grammer,Jerry Stiller,Animation Comedy Family Fantasy Musical,teacher's pet,Nathan LaneKelsey GrammerJerry StillerTimothy BjörklundAnimation Comedy Family Fantasy Musical
François Girard,Johannes Silberschneider,Clotilde Mollet,Carlo Cecchi,Drama Music Mystery Romance,the red violin,Johannes SilberschneiderClotilde MolletCarlo CecchiFrançois GirardDrama Music Mystery Romance
David Lynch,Sissy Spacek,Richard Farnsworth,Everett McGill,Biography Drama,the straight story,Sissy SpacekRichard FarnsworthEverett McGillDavid LynchBiography Drama
Scott Kalvert,Norman Reedus,James Franco,Frankie Muniz,Action Crime Drama,deuces wild,Norman ReedusJames FrancoFrankie MunizScott KalvertAction Crime Drama
Jason Bateman,Beth Grant,Philip Baker Hall,Patricia Belcher,Comedy Drama,bad words,Beth GrantPhilip Baker HallPatricia BelcherJason BatemanComedy Drama
David Schwimmer,Dylan Moran,Iddo Goldberg,India de Beaufort,Comedy Romance Sport,"run, fatboy, run",Dylan MoranIddo GoldbergIndia de BeaufortDavid SchwimmerComedy Romance Sport
Allan Arkush,Bernadette Peters,Randy Quaid,Christopher Guest,Comedy Sci-Fi,heartbeeps,Bernadette PetersRandy QuaidChristopher GuestAllan ArkushComedy Sci-Fi
Mike Binder,Jennifer Ehle,Gillian Jacobs,Jillian Estell,Drama,black or white,Jennifer EhleGillian JacobsJillian EstellMike BinderDrama
Eric Bross,Jerry Stiller,Tamala Jones,Dave Foley,Comedy Family Romance,on the line,Jerry StillerTamala JonesDave FoleyEric BrossComedy Family Romance
Werner Herzog,Christian Bale,Toby Huss,François Chau,Adventure Biography Drama War,rescue dawn,Christian BaleToby HussFrançois ChauWerner HerzogAdventure Biography Drama War
Dan Fogelman,Al Pacino,Jennifer Garner,Melissa Benoist,Comedy Drama Music,danny collins,Al PacinoJennifer GarnerMelissa BenoistDan FogelmanComedy Drama Music
Jay Duplass,Judy Greer,Evan Ross,Rae Dawn Chong,Comedy Drama,"jeff, who lives at home",Judy GreerEvan RossRae Dawn ChongJay DuplassComedy Drama
Luca Guadagnino,Flavio Parenti,Waris Ahluwalia,Alba Rohrwacher,Drama Romance,i am love,Flavio ParentiWaris AhluwaliaAlba RohrwacherLuca GuadagninoDrama Romance
John Putch,Robert Picardo,Diedrich Bader,Esai Morales,Drama Mystery Sci-Fi,atlas shrugged ii: the strike,Robert PicardoDiedrich BaderEsai MoralesJohn PutchDrama Mystery Sci-Fi
Peter Medak,Gary Oldman,Michael Wincott,Lena Olin,Action Crime Drama Thriller,romeo is bleeding,Gary OldmanMichael WincottLena OlinPeter MedakAction Crime Drama Thriller
Steven Soderbergh,Peter Fonda,Lesley Ann Warren,William Lucking,Crime Drama Mystery Thriller,the limey,Peter FondaLesley Ann WarrenWilliam LuckingSteven SoderberghCrime Drama Mystery Thriller
Terence Davies,Eric Stoltz,Anthony LaPaglia,Elizabeth McGovern,Drama Romance,the house of mirth,Eric StoltzAnthony LaPagliaElizabeth McGovernTerence DaviesDrama Romance
Harley Cokeliss,Cliff Robertson,Tracey Walter,Dennis Burkley,Action Drama Thriller,malone,Cliff RobertsonTracey WalterDennis BurkleyHarley CokelissAction Drama Thriller
Victor Salva,Scott Mechlowicz,Tim DeKay,Agnes Bruckner,Drama Romance Sport,peaceful warrior,Scott MechlowiczTim DeKayAgnes BrucknerVictor SalvaDrama Romance Sport
Tom Brady,Don Johnson,Kevin Nealon,Nicholas Turturro,Comedy,bucky larson: born to be a star,Don JohnsonKevin NealonNicholas TurturroTom BradyComedy
Spike Lee,Gillian White,Michael Rapaport,Jada Pinkett Smith,Comedy Drama Music,bamboozled,Gillian WhiteMichael RapaportJada Pinkett SmithSpike LeeComedy Drama Music
Jason Zada,Eoin Macken,Stephanie Vogt,Gen Seto,Horror Mystery Thriller,the forest,Eoin MackenStephanie VogtGen SetoJason ZadaHorror Mystery Thriller
Franklin J. Schaffner,Frank Langella,William Hootkins,John Gielgud,Adventure Mystery Thriller,sphinx,Frank LangellaWilliam HootkinsJohn GielgudFranklin J. SchaffnerAdventure Mystery Thriller
Noah Baumbach,Naomi Watts,Maria Dizzia,Dree Hemingway,Comedy Drama,while we're young,Naomi WattsMaria DizziaDree HemingwayNoah BaumbachComedy Drama
Chris Weitz,Demián Bichir,Eddie 'Piolin' Sotelo,Robert Peters,Drama Romance,a better life,Demián BichirEddie 'Piolin' SoteloRobert PetersChris WeitzDrama Romance
David Cronenberg,Miranda Richardson,John Neville,Lynn Redgrave,Drama Mystery Thriller,spider,Miranda RichardsonJohn NevilleLynn RedgraveDavid CronenbergDrama Mystery Thriller
Eric Blakeney,Liam Neeson,Oliver Platt,Mitch Pileggi,Comedy Crime Romance,gun shy,Liam NeesonOliver PlattMitch PileggiEric BlakeneyComedy Crime Romance
Douglas McGrath,Charlie Hunnam,Anne Hathaway,Jim Broadbent,Drama Romance,nicholas nickleby,Charlie HunnamAnne HathawayJim BroadbentDouglas McGrathDrama Romance
Ariel Vromen,Chris Evans,James Franco,Robert Davi,Biography Crime Drama,the iceman,Chris EvansJames FrancoRobert DaviAriel VromenBiography Crime Drama
unknown,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,Drama,dekalog            ,Krystyna JandaOlaf LubaszenkoOlgierd LukaszewiczunknownDrama
Rakesh Roshan,Naseeruddin Shah,Rekha,Sharat Saxena,Action Adventure Romance Sci-Fi,krrish,Naseeruddin ShahRekhaSharat SaxenaRakesh RoshanAction Adventure Romance Sci-Fi
John Waters,Alicia Witt,Melanie Griffith,Kevin Nealon,Comedy Crime Thriller,cecil b. demented,Alicia WittMelanie GriffithKevin NealonJohn WatersComedy Crime Thriller
William Friedkin,Matthew McConaughey,Scott A. Martin,Carol Sutton,Crime Drama Romance Thriller,killer joe,Matthew McConaugheyScott A. MartinCarol SuttonWilliam FriedkinCrime Drama Romance Thriller
Derrick Borte,Demi Moore,Gary Cole,Robert Pralgo,Comedy Drama,the joneses,Demi MooreGary ColeRobert PralgoDerrick BorteComedy Drama
Richard Kwietniowski,Philip Seymour Hoffman,Minnie Driver,Maury Chaykin,Crime Drama Thriller,owning mahowny,Philip Seymour HoffmanMinnie DriverMaury ChaykinRichard KwietniowskiCrime Drama Thriller
Bob Odenkirk,Jenna Fischer,Lee Majors,Will Forte,Comedy,the brothers solomon,Jenna FischerLee MajorsWill ForteBob OdenkirkComedy
Kar-Wai Wong,Natalie Portman,Norah Jones,Adriane Lenox,Drama Romance,my blueberry nights,Natalie PortmanNorah JonesAdriane LenoxKar-Wai WongDrama Romance
John Turturro,Beverly D'Angelo,Ben Gazzara,George DiCenzo,Drama,illuminata,Beverly D'AngeloBen GazzaraGeorge DiCenzoJohn TurturroDrama
Guy Ritchie,Bruce Greenwood,Jeanne Tripplehorn,David Thornton,Comedy Romance,swept away,Bruce GreenwoodJeanne TripplehornDavid ThorntonGuy RitchieComedy Romance
Joshua Seftel,Bashar Rahal,Sergej Trifunovic,Ned Bellamy,Action Comedy Thriller,"war, inc.",Bashar RahalSergej TrifunovicNed BellamyJoshua SeftelAction Comedy Thriller
Stephen Chow,Wei Zhao,Karen Mok,Kwok-Kwan Chan,Action Comedy Sport,shaolin soccer,Wei ZhaoKaren MokKwok-Kwan ChanStephen ChowAction Comedy Sport
Vincent Gallo,Vincent Gallo,Cheryl Tiegs,Anna Vareschi,Drama,the brown bunny,Vincent GalloCheryl TiegsAnna VareschiVincent GalloDrama
Claude Chabrol,Isabelle Huppert,François Cluzet,Michel Serrault,Comedy Crime Thriller,the swindle,Isabelle HuppertFrançois CluzetMichel SerraultClaude ChabrolComedy Crime Thriller
Jon Stewart,Numan Acar,Claire Foy,Haluk Bilginer,Biography Drama,rosewater,Numan AcarClaire FoyHaluk BilginerJon StewartBiography Drama
Bigas Luna,Olivier Martinez,Aitana Sánchez-Gijón,Romane Bohringer,Drama Romance,the chambermaid on the titanic,Olivier MartinezAitana Sánchez-GijónRomane BohringerBigas LunaDrama Romance
Ralph Fiennes,Gerard Butler,Ashraf Barhom,Lubna Azabal,Drama Thriller War,coriolanus,Gerard ButlerAshraf BarhomLubna AzabalRalph FiennesDrama Thriller War
Dan Harris,Kip Pardue,Ryan Donowho,Larry Fessenden,Comedy Drama,imaginary heroes,Kip PardueRyan DonowhoLarry FessendenDan HarrisComedy Drama
Mel Smith,Minnie Driver,Danny Dyer,Mary McCormack,Action Comedy Drama,high heels and low lifes,Minnie DriverDanny DyerMary McCormackMel SmithAction Comedy Drama
Bobcat Goldthwait,Robin Williams,Daryl Sabara,Henry Simmons,Comedy Drama,world's greatest dad,Robin WilliamsDaryl SabaraHenry SimmonsBobcat GoldthwaitComedy Drama
Christopher Smith,Danny Dyer,Toby Stephens,Laura Harris,Comedy Horror Thriller,severance,Danny DyerToby StephensLaura HarrisChristopher SmithComedy Horror Thriller
Stuart Gordon,Joe Mantegna,Dulé Hill,Jeffrey Combs,Drama Thriller,edmond,Joe MantegnaDulé HillJeffrey CombsStuart GordonDrama Thriller
Jake Scott,Kristen Stewart,Ally Sheedy,Kerry Cahill,Drama,welcome to the rileys,Kristen StewartAlly SheedyKerry CahillJake ScottDrama
Alan Metter,Christopher Lee,Michael Winslow,G.W. Bailey,Comedy Crime,police academy: mission to moscow,Christopher LeeMichael WinslowG.W. BaileyAlan MetterComedy Crime
Jeb Stuart,Ricky Schroder,Nate Parker,Lee Norris,Drama,blood done sign my name,Ricky SchroderNate ParkerLee NorrisJeb StuartDrama
Rafa Lara,Jorge Luis Moreno,Andrés Montiel,William Miller,Drama History War,"cinco de mayo, la batalla",Jorge Luis MorenoAndrés MontielWilliam MillerRafa LaraDrama History War
Michael Radford,Chris Noth,Jared Gilman,James Brolin,Comedy Drama Romance,elsa & fred,Chris NothJared GilmanJames BrolinMichael RadfordComedy Drama Romance
Arthur Hiller,Eric Idle,Harvey Weinstein,Ryan O'Neal,Comedy,an alan smithee film: burn hollywood burn,Eric IdleHarvey WeinsteinRyan O'NealArthur HillerComedy
Michael Meredith,Jeff Bridges,Justin Timberlake,Ted Danson,Comedy Drama,the open road,Jeff BridgesJustin TimberlakeTed DansonMichael MeredithComedy Drama
Julio DePietro,Adrian Martinez,Scott Porter,Aaron Yoo,Comedy Romance,the good guy,Adrian MartinezScott PorterAaron YooJulio DePietroComedy Romance
Katherine Dieckmann,Stephanie Szostak,Minnie Driver,Anthony Edwards,Comedy Drama,motherhood,Stephanie SzostakMinnie DriverAnthony EdwardsKatherine DieckmannComedy Drama
William Dear,Madison Pettis,Corbin Bleu,Sandra Echeverría,Drama,free style,Madison PettisCorbin BleuSandra EcheverríaWilliam DearDrama
Kim Farrant,Nicholas Hamilton,Reef Ireland,Sean Keenan,Drama Mystery Thriller,strangerland,Nicholas HamiltonReef IrelandSean KeenanKim FarrantDrama Mystery Thriller
Marcus Raboy,Mike Epps,Tamala Jones,Glenn Plummer,Comedy Crime Music,the janky promoters,Mike EppsTamala JonesGlenn PlummerMarcus RaboyComedy Crime Music
Scott Marshall,Drew Fuller,Drew Waters,Larry Miller,Comedy Romance,blonde ambition,Drew FullerDrew WatersLarry MillerScott MarshallComedy Romance
Álex de la Iglesia,Jim Carter,Leonor Watling,Danny Sapani,Crime Mystery Thriller,the oxford murders,Jim CarterLeonor WatlingDanny SapaniÁlex de la IglesiaCrime Mystery Thriller
Andrew Traucki,Damian Walshe-Howling,Gyton Grantley,Adrienne Pickering,Horror Thriller,the reef,Damian Walshe-HowlingGyton GrantleyAdrienne PickeringAndrew TrauckiHorror Thriller
